city,product,discount
abbottabad,Second Cup,20%
abbottabad,Daraz,10%
abbottabad,foodpanda,Up to 30%
abbottabad,Aga Khan Laboratories,Up to 20%
abbottabad,Careem,20%
abbottabad,Dawaai,Up to 20%
abbottabad,Qatar Airways,Up to 12%
abbottabad,Khas Stores,15%
abbottabad,Emirates,10%
abbottabad,Hush Puppies,Up to 15%
abbottabad,Metro Shoes,15%
abbottabad,Mothercare,20%
abbottabad,Taşkonaklar Hotel,local_offer
abbottabad,flydubai,Up to 15%
abbottabad,Healthwire,Up to 14%
abbottabad,Souk Galleria,10%
