City Name,Deal Name,Discount,Applicable Cards
karachi,Kababjees,30% off,HBL World Elite DebitCard
karachi,Kababjees,25% off,"HBL World Elite DebitCard, HBL Platinum CreditCard, + 2 More Cards"
karachi,Kababjees,15% off,"HBL Gold CreditCard, HBL Gold DebitCard, + 4 More Cards"
karachi,Kababjees,10% off,"HBL Green CreditCard, HBL Nisa DebitCard, HBL DebitCard"
karachi,Royal Taj Restaurant,20% off,"HBL World Elite DebitCard, HBL Platinum CreditCard, HBL World DebitCard"
karachi,Royal Taj Restaurant,15% off,"+ 5 More Cards, HBL Gold CreditCard, HBL Gold DebitCard"
karachi,Sajjad Restaurant,25% off,"HBL World Elite DebitCard, HBL Platinum CreditCard, HBL World DebitCard"
karachi,Sajjad Restaurant,15% off,"HBL Titanium DebitCard, HBL Gold CreditCard, HBL Gold DebitCard"
karachi,Sajjad Restaurant,10% off,"HBL Green CreditCard, HBL Nisa DebitCard, HBL DebitCard"
karachi,Chaaye Khana,20% off,"HBL Platinum CreditCard, HBL World DebitCard"
karachi,Chaaye Khana,15% off,"HBL Titanium DebitCard, HBL Gold CreditCard, HBL Gold DebitCard"
karachi,Ghalib Restaurant,25% off,"HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Ghalib Restaurant,20% off,HBL World DebitCard
karachi,Ghalib Restaurant,15% off,"HBL Titanium DebitCard, HBL Gold CreditCard, HBL Gold DebitCard"
karachi,Al-Habib Restaurant,20% off,"+ 7 More Cards, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Al-Habib Restaurant,20% off,HBL Konnect Debit Card
karachi,Angeethi,30% off,HBL World Elite DebitCard
karachi,Angeethi,25% off,HBL Platinum CreditCard
karachi,Angeethi,20% off,HBL World DebitCard
karachi,Daily Dubai Restaurant,15% off,"HBL World Elite DebitCard, HBL Platinum CreditCard, HBL World DebitCard"
karachi,Daily Dubai Restaurant,10% off,"HBL Green CreditCard, + 2 More Cards, HBL Gold CreditCard"
karachi,Rangoli,15% off,"+ 7 More Cards, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Bar.B.Q Tonight,40% off,HBL World Elite DebitCard
karachi,Bar.B.Q Tonight,20% off,"HBL Platinum CreditCard, HBL World DebitCard"
karachi,Bar.B.Q Tonight,15% off,"HBL Titanium DebitCard, HBL Gold CreditCard, HBL Gold DebitCard"
karachi,Cafe Aylanto,30% off,HBL Platinum CreditCard
karachi,Cafe Aylanto,20% off,"HBL Gold CreditCard, HBL Gold DebitCard, HBL World DebitCard"
karachi,Cafe Aylanto,15% off,HBL Titanium DebitCard
karachi,Cote Rotie,30% off,HBL World Elite DebitCard
karachi,Cote Rotie,25% off,"HBL World Elite DebitCard, HBL Gold CreditCard, HBL Platinum CreditCard"
karachi,Cote Rotie,15% off,HBL Gold CreditCard
